appid	score	num_tags	total_tag_votes	name	release_date	positive_reviews	total_reviews	review_rating	rec_flag
1111540	1.8998932719821044	3	51	Room 40	Jul 31, 2019	0	0	0.0	0
1102580	1.8946192666182478	2	42	Traffix	Jul 8, 2019	2	2	1.0	0
1119820	1.868715203400302	3	63	61 Days	Aug 2019	0	0	0.0	0
1112670	1.8602186472821094	5	76	YAWS - Yet Another Waveshooter	Jul 12, 2019	0	0	0.0	0
1099500	1.840768072191505	4	69	The Curious Tale of the Stolen Pets	2019	0	0	0.0	0
1120800	1.8262762997372672	3	63	Alex Hunter: Lord of the Mind	Jul 18, 2019	0	0	0.0	0
1122920	1.8201623858397022	3	60	Path Of Aurora	Oct 2019	0	0	0.0	0
1109740	1.7804991058876845	3	43	Kakuro	Jul 29, 2019	0	0	0.0	0
1116880	1.7761736395878458	3	50	<U+4F0A><U+683C><U+5229><U+4E9A><U+6218><U+8BB0>/The Heroic Legend Of  Eagarlnia	2020<U+5E74>  <U+6625><U+5B63>	0	0	0.0	0
1111380	1.7524581744940948	5	50	ROBOTICS;NOTES ELITE	2020	0	0	0.0	0
1114020	1.7392658935750094	4	71	ZomB: Battlegrounds	Jul 26, 2019	0	0	0.0	0
1113030	1.6712486242826112	1	20	Starbase Admiral	To be disclosed	0	0	0.0	0
1111960	1.6712486242826112	1	20	Tsuro - The Game of The Path	Jul 2019	0	0	0.0	0
1103620	1.6712486242826112	1	20	<U+9752><U+5C9A><U+8840><U+67AB>	Jul 2019	0	0	0.0	0
1100420	1.6712486242826112	1	22	Praetorians - HD Remaster	Q4 2019	0	0	0.0	0
1107940	1.668254980133066	4	82	Rocket Boy	Jul 17, 2019	0	0	0.0	0
1116890	1.6625796142607059	2	42	Unsolved Mystery Club: Amelia Earhart	Jul 22, 2019	0	0	0.0	0
1116700	1.6625796142607059	2	42	Vermillion Watch: Parisian Pursuit Collector's Edition	Jul 12, 2019	0	0	0.0	0
1099660	1.6164773601676363	3	51	The Lattice Grimoire	Jul 2019	0	0	0.0	0
1103290	1.610961836880879	4	82	Mind Trap	Q1 2020 - TBA	0	0	0.0	0
1119060	1.6064239120353316	3	61	The Designer's Curse	Jul 29, 2019	0	0	0.0	0
1115090	1.5804028421805465	3	63	My Planet [RTS]	Aug 8, 2019	0	0	0.0	0
1101380	1.5804028421805465	3	63	LOGistICAL 2: Indonesia	Jul 25, 2019	0	0	0.0	0
1103320	1.5789375876305134	3	62	Snow Arena	Jun 25, 2019	4	6	0.6666666666666666	0
1117310	1.5788630831618675	3	59	Sandwich Sudoku	Jul 2019	0	0	0.0	0
